Semaine,Bitcoin
2017-01-01,7
2017-01-08,6
2017-01-15,5
2017-01-22,4
2017-01-29,5
2017-02-05,5
2017-02-12,5
2017-02-19,5
2017-02-26,6
2017-03-05,6
2017-03-12,6
2017-03-19,6
2017-03-26,5
2017-04-02,5
2017-04-09,5
2017-04-16,5
2017-04-23,5
2017-04-30,7
2017-05-07,10
2017-05-14,11
2017-05-21,18
2017-05-28,12
2017-06-04,13
2017-06-11,14
2017-06-18,12
2017-06-25,12
2017-07-02,10
2017-07-09,11
2017-07-16,12
2017-07-23,11
2017-07-30,13
2017-08-06,14
2017-08-13,19
2017-08-20,15
2017-08-27,17
2017-09-03,18
2017-09-10,21
2017-09-17,15
2017-09-24,12
2017-10-01,13
2017-10-08,18
2017-10-15,19
2017-10-22,19
2017-10-29,25
2017-11-05,26
2017-11-12,27
2017-11-19,26
2017-11-26,57
2017-12-03,83
2017-12-10,79
2017-12-17,88
2017-12-24,59
2017-12-31,45
2018-01-07,44
2018-01-14,54
2018-01-21,37
2018-01-28,38
2018-02-04,44
2018-02-11,26
2018-02-18,23
2018-02-25,19
2018-03-04,18
2018-03-11,18
2018-03-18,17
2018-03-25,17
2018-04-01,16
2018-04-08,15
2018-04-15,14
2018-04-22,14
2018-04-29,13
2018-05-06,12
2018-05-13,11
2018-05-20,11
2018-05-27,10
2018-06-03,9
2018-06-10,12
2018-06-17,10
2018-06-24,10
2018-07-01,9
2018-07-08,9
2018-07-15,11
2018-07-22,12
2018-07-29,10
2018-08-05,11
2018-08-12,11
2018-08-19,10
2018-08-26,10
2018-09-02,11
2018-09-09,10
2018-09-16,9
2018-09-23,9
2018-09-30,8
2018-10-07,9
2018-10-14,8
2018-10-21,8
2018-10-28,8
2018-11-04,8
2018-11-11,10
2018-11-18,13
2018-11-25,14
2018-12-02,12
2018-12-09,11
2018-12-16,11
2018-12-23,10
2018-12-30,9
2019-01-06,9
2019-01-13,8
2019-01-20,7
2019-01-27,8
2019-02-03,8
2019-02-10,7
2019-02-17,8
2019-02-24,8
2019-03-03,7
2019-03-10,7
2019-03-17,7
2019-03-24,7
2019-03-31,12
2019-04-07,10
2019-04-14,8
2019-04-21,9
2019-04-28,9
2019-05-05,12
2019-05-12,19
2019-05-19,14
2019-05-26,15
2019-06-02,12
2019-06-09,11
2019-06-16,17
2019-06-23,26
2019-06-30,18
2019-07-07,17
2019-07-14,16
2019-07-21,13
2019-07-28,12
2019-08-04,15
2019-08-11,13
2019-08-18,12
2019-08-25,36
2019-09-01,100
2019-09-08,58
2019-09-15,52
2019-09-22,33
2019-09-29,10
2019-10-06,10
2019-10-13,9
2019-10-20,11
2019-10-27,11
2019-11-03,9
2019-11-10,9
2019-11-17,10
2019-11-24,10
2019-12-01,9
2019-12-08,8
2019-12-15,10
2019-12-22,9
2019-12-29,9
2020-01-05,11
2020-01-12,11
2020-01-19,10
2020-01-26,10
2020-02-02,11
2020-02-09,13
2020-02-16,11
2020-02-23,11
2020-03-01,11
2020-03-08,19
2020-03-15,20
2020-03-22,15
2020-03-29,13
2020-04-05,13
2020-04-12,12
2020-04-19,13
2020-04-26,16
2020-05-03,17
2020-05-10,21
2020-05-17,15
2020-05-24,13
2020-05-31,13
2020-06-07,12
2020-06-14,11
2020-06-21,10
2020-06-28,10
2020-07-05,10
2020-07-12,11
2020-07-19,10
2020-07-26,17
2020-08-02,15
2020-08-09,14
2020-08-16,13
2020-08-23,11
2020-08-30,12
2020-09-06,11
2020-09-13,10
2020-09-20,10
2020-09-27,9
2020-10-04,9
2020-10-11,10
2020-10-18,13
2020-10-25,14
2020-11-01,16
2020-11-08,16
2020-11-15,23
2020-11-22,25
2020-11-29,21
2020-12-06,17
2020-12-13,27
2020-12-20,27
2020-12-27,41
2021-01-03,68
2021-01-10,63
2021-01-17,41
2021-01-24,38
2021-01-31,34
2021-02-07,57
2021-02-14,57
2021-02-21,65
2021-02-28,42
2021-03-07,42
2021-03-14,41
2021-03-21,38
2021-03-28,36
2021-04-04,33
