semaine,dogecoin
2020-04-12,1
2020-04-19,1
2020-04-26,1
2020-05-03,1
2020-05-10,1
2020-05-17,1
2020-05-24,1
2020-05-31,1
2020-06-07,1
2020-06-14,1
2020-06-21,1
2020-06-28,1
2020-07-05,7
2020-07-12,2
2020-07-19,1
2020-07-26,1
2020-08-02,1
2020-08-09,1
2020-08-16,1
2020-08-23,1
2020-08-30,1
2020-09-06,1
2020-09-13,1
2020-09-20,< 1
2020-09-27,< 1
2020-10-04,1
2020-10-11,< 1
2020-10-18,< 1
2020-10-25,1
2020-11-01,< 1
2020-11-08,1
2020-11-15,1
2020-11-22,1
2020-11-29,1
2020-12-06,1
2020-12-13,1
2020-12-20,4
2020-12-27,6
2021-01-03,11
2021-01-10,5
2021-01-17,3
2021-01-24,100
2021-01-31,74
2021-02-07,86
2021-02-14,37
2021-02-21,22
2021-02-28,15
2021-03-07,16
2021-03-14,14
2021-03-21,8
2021-03-28,11
2021-04-04,11
